VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
Bangladesh,27/02/2023,"Aéroport international John F. Kennedy, New York, NY, Etats-Unis","Aéroport international de Los Angeles, Los Angeles, CA, Etats-Unis",122 €,6h 35m,19:15,22:50,Direct,Delta Air Lines
Bangladesh,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 039 €,22h 35m,12:15,20:50,1 escale,Cathay Pacific
Bangladesh,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 134 €,21h 15m,10:40,17:55,1 escale,Singapore Airlines
Bangladesh,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 022 €,24h 20m,10:40,21:00,1 escale,Plusieurs compagnies
Bangladesh,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",814 €,32h 15m,18:00,12:15,2 escales,Plusieurs compagnies
Bangladesh,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 134 €,23h 20m,22:20,07:40,1 escale,Singapore Airlines
Bangladesh,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",825 €,32h 10m,18:05,12:15,2 escales,Plusieurs compagnies
Bangladesh,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 186 €,22h 50m,22:20,07:10,1 escale,Plusieurs compagnies
Bangladesh,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 000 €,27h 20m,19:00,08:20,1 escale,Asiana Airlines
Bangladesh,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 238 €,22h 5m,14:25,22:30,1 escale,Emirates
Bangladesh,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 130 €,24h 20m,08:25,18:45,1 escale,Qatar Airways
Bangladesh,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 245 €,22h 5m,14:25,22:30,1 escale,Qantas Airways
Bangladesh,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 183 €,23h 20m,12:30,21:50,1 escale,Thai Airways
Bangladesh,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",814 €,34h 5m,16:10,12:15,2 escales,Plusieurs compagnies
Bangladesh,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 256 €,22h 5m,14:25,22:30,1 escale,Plusieurs compagnies
Bangladesh,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 133 €,24h 40m,10:40,21:20,1 escale,Singapore Airlines
Cambodge,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",629 €,22h 0m,07:30,13:30,2 escales,China Airlines
Cambodge,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",798 €,17h 35m,11:20,12:55,1 escale,Eva Air
Cambodge,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",774 €,19h 20m,12:30,15:50,1 escale,Thai Airways
Cambodge,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",802 €,19h 10m,09:30,12:40,1 escale,Etihad Airways
Cambodge,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",629 €,25h 5m,07:30,16:35,2 escales,China Airlines
Cambodge,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",825 €,19h 20m,12:15,15:35,1 escale,Cathay Pacific
Cambodge,27/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",951 €,16h 55m,12:15,13:10,1 escale,Cathay Pacific
